packets_received,bytes_received,packets_transmitted,bytes_transmitted,traffic_type,i_src_host,i_dst_host
0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0,0,0
70.0,6300.0,70.0,6300.0,1,h2,h7
754.0,1114612.0,754.0,1114612.0,2,h7,h5
71.0,6342.0,71.0,6342.0,1,h4,h8
800784.0,25650690048.0,800784.0,25650690048.0,3,iot1,h8
824984.0,26275141632.0,824984.0,26275141632.0,3,iot1,h10
70.0,6300.0,70.0,6300.0,1,h7,h5
664.0,974568.0,664.0,974568.0,2,h4,h7
64.0,5712.0,64.0,5712.0,1,h5,iot1
0.0,0.0,0.0,0.0,0,0,0
754.0,1114612.0,754.0,1114612.0,2,h2,h4
0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0,0,0
682759.0,21186189312.0,682759.0,21186189312.0,3,h6,h2
789984.0,24716744704.0,789984.0,24716744704.0,3,h9,h4
754.0,1114612.0,754.0,1114612.0,2,iot1,h3
70.0,6300.0,70.0,6300.0,1,h10,h6
80.0,6720.0,80.0,6720.0,1,h4,h1
756.0,1113672.0,756.0,1113672.0,2,h8,h2
682976.0,21807353856.0,682976.0,21807353856.0,3,h6,h8
637420.0,20684075008.0,637420.0,20684075008.0,3,h4,h10
756.0,1113672.0,756.0,1113672.0,2,h6,h5
754.0,1114612.0,754.0,1114612.0,2,h7,h4
717328.0,22251988992.0,717328.0,22251988992.0,3,h6,h4
756.0,1113672.0,756.0,1113672.0,2,h8,h5
754.0,1114612.0,754.0,1114612.0,2,h6,h2
662.0,974484.0,662.0,974484.0,2,h10,iot1
70.0,6300.0,70.0,6300.0,1,h10,h5
792928.0,24469475328.0,792928.0,24469475328.0,3,h5,h4
754.0,1114612.0,754.0,1114612.0,2,h3,h1
0.0,0.0,0.0,0.0,0,0,0
793088.0,24581683200.0,793088.0,24581683200.0,3,h5,h2
0.0,0.0,0.0,0.0,0,0,0
801016.0,24856932352.0,801016.0,24856932352.0,3,h8,h6
756.0,1113672.0,756.0,1113672.0,2,h7,h8
70.0,6300.0,70.0,6300.0,1,h5,h7
0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0,0,0
664.0,974568.0,664.0,974568.0,2,h6,h5
0.0,0.0,0.0,0.0,0,0,0
70.0,6300.0,70.0,6300.0,1,h10,h5
756.0,1113672.0,756.0,1113672.0,2,h2,h4
0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0,0,0
756.0,1113672.0,756.0,1113672.0,2,h4,h6
756.0,1113672.0,756.0,1113672.0,2,iot1,h5
0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0,0,0
70.0,6300.0,70.0,6300.0,1,h8,h4
640465.0,20106248192.0,640465.0,20106248192.0,3,h7,h2
70.0,6300.0,70.0,6300.0,1,h5,h4
0.0,0.0,0.0,0.0,0,0,0
783616.0,26238857216.0,783616.0,26238857216.0,3,h9,h7
0.0,0.0,0.0,0.0,0,0,0
771504.0,24424019968.0,771504.0,24424019968.0,3,h4,h2
60.0,5880.0,60.0,5880.0,1,h7,h9
70.0,6300.0,70.0,6300.0,1,h7,h8
756.0,1113672.0,756.0,1113672.0,2,h10,h9
70.0,6300.0,70.0,6300.0,1,h6,h7
771792.0,24373708800.0,771792.0,24373708800.0,3,h3,h5
580424.0,18866538496.0,580424.0,18866538496.0,3,iot1,h2
0.0,0.0,0.0,0.0,0,0,0
70.0,6300.0,70.0,6300.0,1,h6,h3
70.0,6300.0,70.0,6300.0,1,h4,h10
80.0,6720.0,80.0,6720.0,1,iot1,h2
0.0,0.0,0.0,0.0,0,0,0
60.0,5880.0,60.0,5880.0,1,h10,h4
739368.0,23230717952.0,739368.0,23230717952.0,3,h8,h1
80.0,6720.0,80.0,6720.0,1,h8,h3
0.0,0.0,0.0,0.0,0,0,0
756.0,1113672.0,756.0,1113672.0,2,h10,h7
786952.0,24709203968.0,786952.0,24709203968.0,3,h2,h10
756.0,1113672.0,756.0,1113672.0,2,h9,h5
756.0,1113672.0,756.0,1113672.0,2,iot1,h10
834520.0,26772795392.0,834520.0,26772795392.0,3,h2,h10
460719.0,14020508672.0,460719.0,14020508672.0,3,h10,h3
783624.0,25106395136.0,783624.0,25106395136.0,3,h7,iot1
756.0,1113672.0,756.0,1113672.0,2,h7,h1
0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0,0,0
776472.0,24217778176.0,776472.0,24217778176.0,3,h10,h8
0.0,0.0,0.0,0.0,0,0,0
703392.0,22905380864.0,703392.0,22905380864.0,3,h3,h9
710768.0,23328444416.0,710768.0,23328444416.0,3,iot1,h9
0.0,0.0,0.0,0.0,0,0,0
803032.0,25272301568.0,803032.0,25272301568.0,3,h7,h2
0.0,0.0,0.0,0.0,0,0,0
70.0,6300.0,70.0,6300.0,1,h6,h1
756.0,1113672.0,756.0,1113672.0,2,iot1,h7
756.0,1113672.0,756.0,1113672.0,2,h7,h6
756.0,1113672.0,756.0,1113672.0,2,h5,h8
756.0,1113672.0,756.0,1113672.0,2,h8,h3
675906.0,20849930240.0,675906.0,20849930240.0,3,h9,h5
70.0,6300.0,70.0,6300.0,1,h7,h9
0.0,0.0,0.0,0.0,0,0,0
730344.0,23877093376.0,730344.0,23877093376.0,3,h6,h8
754.0,1114612.0,754.0,1114612.0,2,h10,h1
0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0,0,0
762464.0,23768064000.0,762464.0,23768064000.0,3,h4,h9
0.0,0.0,0.0,0.0,0,0,0
807312.0,25249515520.0,807312.0,25249515520.0,3,h7,h9
756.0,1113672.0,756.0,1113672.0,2,h10,iot1
664.0,974568.0,664.0,974568.0,2,h10,h9
0.0,0.0,0.0,0.0,0,0,0
797264.0,24984610816.0,797264.0,24984610816.0,3,h6,h2
0.0,0.0,0.0,0.0,0,0,0
80.0,6720.0,80.0,6720.0,1,h2,h3
756.0,1113672.0,756.0,1113672.0,2,h9,h5
713808.0,22776045568.0,713808.0,22776045568.0,3,h7,h3
764.0,1115032.0,764.0,1115032.0,2,h7,h5
727608.0,23697606656.0,727608.0,23697606656.0,3,h5,h4
664.0,974568.0,664.0,974568.0,2,h9,h3
0.0,0.0,0.0,0.0,0,0,0
756.0,1113672.0,756.0,1113672.0,2,h5,h7
0.0,0.0,0.0,0.0,0,0,0
756.0,1113672.0,756.0,1113672.0,2,iot1,h2
546456.0,17517926400.0,546456.0,17517926400.0,3,h9,h1
0.0,0.0,0.0,0.0,0,0,0
1730.0,2586360.0,1730.0,2586360.0,2,h10,h5
756.0,1113672.0,756.0,1113672.0,2,h5,h3
0.0,0.0,0.0,0.0,0,0,0
723254.0,22848626688.0,723254.0,22848626688.0,3,h6,iot1
735704.0,24870449152.0,735704.0,24870449152.0,3,h9,h10
1801.0,2599710.0,1801.0,2599710.0,2,h1,h5
80.0,6720.0,80.0,6720.0,1,iot1,h3
0.0,0.0,0.0,0.0,0,0,0
70.0,6300.0,70.0,6300.0,1,h6,h9
831920.0,26928861184.0,831920.0,26928861184.0,3,h10,h7
720304.0,22983043072.0,720304.0,22983043072.0,3,h3,h9
664223.0,21781344256.0,664223.0,21781344256.0,3,h7,h2
754.0,1114612.0,754.0,1114612.0,2,h10,h4
756.0,1113672.0,756.0,1113672.0,2,h4,h2
754.0,1114612.0,754.0,1114612.0,2,iot1,h9
665760.0,21098299392.0,665760.0,21098299392.0,3,h7,h1
756.0,1113672.0,756.0,1113672.0,2,h6,h5
0.0,0.0,0.0,0.0,0,0,0
70.0,6300.0,70.0,6300.0,1,h10,h9
728240.0,22854592512.0,728240.0,22854592512.0,3,h4,h5
70.0,6300.0,70.0,6300.0,1,h1,h7
0.0,0.0,0.0,0.0,0,0,0
587048.0,18423429120.0,587048.0,18423429120.0,3,h6,h1
718528.0,21909184512.0,718528.0,21909184512.0,3,h8,h4
70.0,6300.0,70.0,6300.0,1,h3,h10
0.0,0.0,0.0,0.0,0,0,0
736.0,1112832.0,736.0,1112832.0,2,h8,h4
756.0,1113672.0,756.0,1113672.0,2,h4,h7
754.0,1114612.0,754.0,1114612.0,2,h3,h7
80.0,6720.0,80.0,6720.0,1,h1,h10
756.0,1113672.0,756.0,1113672.0,2,h8,h10
756.0,1113672.0,756.0,1113672.0,2,h1,h4
834088.0,26131038208.0,834088.0,26131038208.0,3,h7,h6
795712.0,24805201920.0,795712.0,24805201920.0,3,h10,h3
756.0,1113672.0,756.0,1113672.0,2,h8,h5
80.0,6720.0,80.0,6720.0,1,h9,h7
844064.0,26178883584.0,844064.0,26178883584.0,3,h9,h4
0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0,0,0
756.0,1113672.0,756.0,1113672.0,2,iot1,h6
70.0,6300.0,70.0,6300.0,1,h6,h8
756.0,1113672.0,756.0,1113672.0,2,h10,h5
70.0,6300.0,70.0,6300.0,1,h3,h2
849864.0,26860840960.0,849864.0,26860840960.0,3,h10,h6
754.0,1114612.0,754.0,1114612.0,2,h4,h6
0.0,0.0,0.0,0.0,0,0,0
82.0,6804.0,82.0,6804.0,1,h5,h10
70.0,6300.0,70.0,6300.0,1,h8,h1
0.0,0.0,0.0,0.0,0,0,0
0.0,0.0,0.0,0.0,0,0,0
70.0,6300.0,70.0,6300.0,1,h4,h6
